waluta;kod;styczeń;luty;marzec;kwiecień;maj;czerwiec;lipiec;sierpień;wrzesień;październik;listopad;grudzień;Rok
bat (Tajlandia);THB;0.1075;0.103;0.1021;0.1028;0.107;0.1087;0.1077;0.1051;0.1038;0.1033;0.105;0.1019;2012
dolar amerykański;USD;3.3884;3.1608;3.132;3.1727;3.3472;3.4399;3.4061;3.3021;3.2154;3.1672;3.2237;3.123;2012
dolar australijski;AUD;3.5222;3.3918;3.3016;3.2824;3.3406;3.4235;3.5065;3.4584;3.3461;3.2617;3.3524;3.2663;2012
dolar Hongkongu;HKD;0.4364;0.4076;0.4035;0.4087;0.4312;0.4434;0.4392;0.4257;0.4147;0.4086;0.416;0.403;2012
dolar kanadyjski;CAD;3.3429;3.1689;3.1515;3.1953;3.3161;3.3431;3.3579;3.3235;3.2852;3.2119;3.2327;3.1539;2012
dolar nowozelandzki;NZD;2.707;2.6384;2.5705;2.5953;2.593;2.6747;2.7201;2.6768;2.6323;2.5977;2.64;2.5923;2012
dolar singapurski;SGD;2.6466;2.5208;2.4883;2.5355;2.6527;2.6884;2.7;2.6452;2.6098;2.5877;2.6341;2.5583;2012
euro;EUR;4.3775;4.184;4.137;4.1756;4.2884;4.3072;4.1896;4.0912;4.1314;4.1091;4.1354;4.0938;2012
forint (Węgry);HUF;0.014227;0.014398;0.014158;0.014159;0.014619;0.014639;0.014625;0.014682;0.014551;0.014581;0.01464;0.01433;2012
frank szwajcarski;CHF;3.6135;3.466;3.43;3.4736;3.57;3.5865;3.4884;3.4064;3.4168;3.3965;3.431;3.3871;2012
funt szterling;GBP;5.2573;4.9988;4.9564;5.0779;5.33;5.3382;5.3081;5.1839;5.1781;5.0948;5.1467;5.0388;2012
hrywna (Ukraina);UAH;0.4215;0.3939;0.3906;0.3955;0.4157;0.4257;0.4213;0.4075;0.3961;0.3883;0.3939;0.3847;2012
jen (Japonia);JPY;0.044042;0.040317;0.038004;0.038963;0.041977;0.043428;0.043128;0.041983;0.041127;0.040108;0.039856;0.037325;2012
korona czeska;CZK;0.1715;0.1671;0.1675;0.1685;0.1697;0.168;0.1646;0.1635;0.167;0.1649;0.1631;0.1625;2012
korona duńska;DKK;0.5887;0.5628;0.5564;0.5613;0.5769;0.5795;0.5632;0.5495;0.5543;0.551;0.5544;0.5488;2012
korona islandzka;ISK;0.027416;0.025651;0.024803;0.024999;0.026339;0.026933;0.027049;0.027492;0.026197;0.025531;0.025327;0.024677;2012
korona norweska;NOK;0.5698;0.5533;0.5497;0.5516;0.5661;0.5712;0.5619;0.5583;0.5591;0.5549;0.5635;0.5562;2012
korona szwedzka;SEK;0.4945;0.4741;0.4657;0.4714;0.4766;0.4849;0.4898;0.494;0.4865;0.477;0.4806;0.4733;2012
lej rumuński;RON;1.0088;0.9618;0.9476;0.9542;0.9663;0.9653;0.9216;0.9046;0.9182;0.9005;0.9132;0.9133;2012
lew bułgarski;BGN;2.2382;2.1393;2.1152;2.135;2.1927;2.2023;2.1422;2.0918;2.1124;2.101;2.1144;2.0932;2012
lira turecka;TRY;1.8371;1.7982;1.7517;1.7756;1.8517;1.8848;1.8789;1.8383;1.7832;1.7573;1.7965;1.7465;2012
nowy  izraelski szekel;ILS;0.8899;0.846;0.8321;0.8465;0.8747;0.8835;0.8536;0.8225;0.815;0.8219;0.8267;0.8263;2012
peso  chilijskie;CLP;0.006765;0.006561;0.00646;0.006532;0.00674;0.006803;0.006922;0.006868;0.006779;0.006665;0.006714;0.006556;2012
peso filipińskie;PHP;0.0778;0.0741;0.0731;0.0744;0.078;0.0805;0.0813;0.0785;0.077;0.0765;0.0784;0.0761;2012
peso meksykańskie;MXN;0.2522;0.2474;0.2458;0.2433;0.246;0.2462;0.2547;0.2503;0.2483;0.2458;0.2464;0.2425;2012
rand (Republika Południowej Afryki);ZAR;0.4224;0.4126;0.4119;0.4053;0.411;0.409;0.4131;0.3996;0.3883;0.366;0.3663;0.3616;2012
real brazylijski;BRL;1.8895;1.8393;1.7541;1.7148;1.693;1.6786;1.6803;1.6279;1.5847;1.5599;1.5629;1.502;2012
ringgit malezyjski;MYR;1.0874;1.0457;1.0287;1.0369;1.0793;1.0809;1.0753;1.059;1.0442;1.0371;1.054;1.0222;2012
rupia indonezyjska;IDR;0.00037343;0.00035109;0.00034586;0.00034856;0.00035895;0.00036231;0.00035996;0.00034766;0.00033613;0.00032954;0.00033498;0.00032249;2012
rupia  indyjska;INR;0.066112;0.064269;0.062207;0.061357;0.061525;0.061326;0.061415;0.059434;0.059061;0.059715;0.058808;0.05714;2012
won (Korea Południowa);KRW;0.002965;0.002815;0.002781;0.002795;0.002889;0.002952;0.002982;0.002916;0.002862;0.002864;0.002963;0.002903;2012
yuan renminbi (Chiny);CNY;0.5364;0.5017;0.4962;0.5031;0.5292;0.5405;0.5346;0.5192;0.5087;0.5056;0.5171;0.5011;2012
